user_id,persona,date,merchant,item,kategori,qty,nominal,total_harga,payment_method,combined_text,spending_level,month,day_name,is_weekend,hour,time_category,item_length,word_count,is_digital_payment
U001,anak_kos,2024-01-01 01:10:00,spbu vivo,revvo 90,transport,1,131035,131035,debit card,spbu vivo revvo 90,medium,1,monday,0,1,night,8,4,0
U004,ibu_rumah_tangga,2024-01-01 02:13:00,laundryklin,laundry kiloan 3kg,kebutuhan rumah,3,21792,65376,gopay,laundryklin laundry kiloan 3kg,medium,1,monday,0,2,night,18,4,1
U004,ibu_rumah_tangga,2024-01-01 02:49:00,xl axiata,paket data xtra combo,tagihan & utilitas,1,63608,63608,dana,xl axiata paket data xtra combo,medium,1,monday,0,2,night,21,6,1
U004,ibu_rumah_tangga,2024-01-01 04:40:00,miniso,miniso selimut hoodie casual blanket lost in tokyo series printed gunung fuji hooded leisure blanket covered leg shawl,kebutuhan rumah,1,89489,89489,qris,miniso miniso selimut hoodie casual blanket lost in tokyo series printed gunung fuji hooded leisure blanket covered leg shawl,medium,1,monday,0,4,night,118,19,1
U002,karyawan,2024-01-01 05:13:00,timezone,top up kartu game,hiburan,1,92294,92294,ovo,timezone top up kartu game,medium,1,monday,0,5,morning,17,5,1
U004,ibu_rumah_tangga,2024-01-01 09:14:00,k24,vitamin c triman 50mg tablet,kesehatan,1,2622,2622,gopay,k24 vitamin c triman 50mg tablet,low,1,monday,0,9,morning,28,6,1
U001,anak_kos,2024-01-01 10:22:00,miniso,miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,kebutuhan rumah,4,100857,403428,debit card,miniso miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,high,1,monday,0,10,morning,74,14,0
U003,mahasiswa,2024-01-01 13:36:00,print station,print warna a4,pendidikan,1,5181,5181,dana,print station print warna a4,low,1,monday,0,13,afternoon,14,5,1
U004,ibu_rumah_tangga,2024-01-01 14:18:00,miniso,miniso matras yoga mat anti slip senam yoga gym matrass fitness karpet matras alat olahraga,kebutuhan rumah,5,128396,641980,ovo,miniso miniso matras yoga mat anti slip senam yoga gym matrass fitness karpet matras alat olahraga,high,1,monday,0,14,afternoon,91,16,1
U005,anak_sultan,2024-01-01 15:38:00,miniso,miniso tas selempang wanita multifungsi handbag totebag jinjing segitiga sling bag pesta model tas terbaru 2021 simple v,belanja,1,75128,75128,gopay,miniso miniso tas selempang wanita multifungsi handbag totebag jinjing segitiga sling bag pesta model tas terbaru 2021 simple v,medium,1,monday,0,15,evening,120,19,1
U003,mahasiswa,2024-01-01 19:36:00,shopee official store,buku catatan a5 premium quality,pendidikan,1,56465,56465,qris,shopee official store buku catatan a5 premium quality,medium,1,monday,0,19,night,31,8,1
U005,anak_sultan,2024-01-02 01:53:00,miniso,miniso official parfum wanita eternal faith lady perfume isi 50ml,belanja,2,66318,132636,debit card,miniso miniso official parfum wanita eternal faith lady perfume isi 50ml,medium,1,tuesday,0,1,night,65,11,0
U004,ibu_rumah_tangga,2024-01-02 09:48:00,smartfren,unlimited nonstop,tagihan & utilitas,1,91942,91942,debit card,smartfren unlimited nonstop,medium,1,tuesday,0,9,morning,17,3,0
